date,state,temp_min_c,temp_avg_c,temp_max_c,precipitation_mm,source
2015-01-01,Jalisco,8.9,17.5,26.1,6.5,conagua_historico
2015-01-01,Michoacán,10.0,17.9,25.9,1.5,conagua_historico
2015-02-01,Jalisco,9.3,17.9,26.5,42.2,conagua_historico
2015-02-01,Michoacán,10.2,18.4,26.6,17.9,conagua_historico
2015-03-01,Michoacán,11.7,19.2,26.7,158.7,conagua_historico
2015-03-01,Jalisco,10.8,19.3,27.9,140.2,conagua_historico
2015-04-01,Jalisco,13.6,21.9,30.3,7.3,conagua_historico
2015-04-01,Michoacán,13.9,21.8,29.7,7.5,conagua_historico
2015-05-01,Michoacán,15.6,23.1,30.7,75.4,conagua_historico
2015-05-01,Jalisco,14.9,23.3,31.7,42.7,conagua_historico
2015-06-01,Michoacán,16.3,22.8,29.3,132.4,conagua_historico
2015-06-01,Jalisco,17.0,23.5,29.9,183.2,conagua_historico
2015-07-01,Michoacán,15.7,22.1,28.6,163.9,conagua_historico
2015-07-01,Jalisco,16.2,22.5,28.9,179.9,conagua_historico
2015-08-01,Michoacán,14.8,21.6,28.5,118.2,conagua_historico
2015-08-01,Jalisco,16.0,22.8,29.7,135.6,conagua_historico
2015-09-01,Jalisco,16.1,22.5,28.9,160.4,conagua_historico
2015-09-01,Michoacán,15.5,21.9,28.3,130.4,conagua_historico
2015-10-01,Michoacán,14.3,21.4,28.4,164.6,conagua_historico
2015-10-01,Jalisco,14.7,21.7,28.7,196.5,conagua_historico
2015-11-01,Jalisco,13.4,20.8,28.2,16.1,conagua_historico
2015-11-01,Michoacán,12.9,20.8,28.7,7.4,conagua_historico
2015-12-01,Michoacán,10.6,17.8,25.0,18.7,conagua_historico
2015-12-01,Jalisco,10.2,18.1,26.0,35.3,conagua_historico
2016-01-01,Jalisco,6.3,16.2,26.1,8.4,conagua_historico
2016-01-01,Michoacán,7.2,16.1,24.9,17.0,conagua_historico
2016-02-01,Jalisco,8.2,18.8,29.5,4.8,conagua_historico
2016-02-01,Michoacán,8.3,18.2,28.2,2.2,conagua_historico
2016-03-01,Michoacán,10.3,18.9,27.5,22.8,conagua_historico
2016-03-01,Jalisco,9.9,19.4,28.9,16.1,conagua_historico
2016-04-01,Jalisco,12.1,22.2,32.2,1.1,conagua_historico
2016-04-01,Michoacán,12.2,21.4,30.5,3.9,conagua_historico
2016-05-01,Michoacán,14.7,23.8,32.9,27.1,conagua_historico
2016-05-01,Jalisco,15.7,25.2,34.6,19.6,conagua_historico
2016-06-01,Michoacán,14.9,22.3,29.8,123.8,conagua_historico
2016-06-01,Jalisco,16.8,24.5,32.2,171.7,conagua_historico
2016-07-01,Michoacán,14.1,21.1,28.0,140.5,conagua_historico
2016-07-01,Jalisco,16.2,23.0,29.8,240.1,conagua_historico
2016-08-01,Michoacán,15.1,21.8,28.4,172.7,conagua_historico
2016-08-01,Jalisco,17.2,23.4,29.6,224.8,conagua_historico
2016-09-01,Michoacán,14.4,21.4,28.4,131.9,conagua_historico
2016-09-01,Jalisco,16.4,23.3,30.2,156.5,conagua_historico
2016-10-01,Jalisco,15.0,22.7,30.4,34.0,conagua_historico
2016-10-01,Michoacán,13.3,21.1,28.9,39.2,conagua_historico
2016-11-01,Michoacán,10.9,18.9,26.8,28.8,conagua_historico
2016-11-01,Jalisco,12.3,20.2,28.1,36.4,conagua_historico
2016-12-01,Jalisco,10.1,19.2,28.2,12.7,conagua_historico
2016-12-01,Michoacán,9.3,18.3,27.3,12.0,conagua_historico
2017-01-01,Jalisco,7.6,17.7,27.9,0.3,conagua_historico
2017-01-01,Michoacán,7.7,17.5,27.3,0.1,conagua_historico
2017-02-01,Michoacán,8.1,18.1,28.1,1.0,conagua_historico
2017-02-01,Jalisco,8.5,18.9,29.3,2.9,conagua_historico
2017-03-01,Michoacán,10.9,20.3,29.7,14.6,conagua_historico
2017-03-01,Jalisco,11.4,21.4,31.4,6.5,conagua_historico
2017-04-01,Jalisco,11.8,22.2,32.7,0.1,conagua_historico
2017-04-01,Michoacán,11.3,21.5,31.8,1.8,conagua_historico
2017-05-01,Jalisco,15.0,25.0,35.0,6.8,conagua_historico
2017-05-01,Michoacán,14.4,24.0,33.5,29.5,conagua_historico
2017-06-01,Jalisco,17.8,25.9,34.0,101.8,conagua_historico
2017-06-01,Michoacán,15.9,23.7,31.5,116.1,conagua_historico
2017-07-01,Jalisco,17.0,23.6,30.3,233.3,conagua_historico
2017-07-01,Michoacán,14.8,21.6,28.3,159.4,conagua_historico
2017-08-01,Michoacán,15.3,22.1,28.9,228.4,conagua_historico
2017-08-01,Jalisco,17.3,24.0,30.6,266.8,conagua_historico
2017-09-01,Jalisco,16.7,23.0,29.3,247.4,conagua_historico
2017-09-01,Michoacán,14.7,21.3,28.0,190.9,conagua_historico
2017-10-01,Michoacán,12.9,20.7,28.6,50.2,conagua_historico
2017-10-01,Jalisco,14.8,22.3,29.8,59.4,conagua_historico
2017-11-01,Jalisco,10.7,20.4,30.0,0.9,conagua_historico
2017-11-01,Michoacán,9.2,18.9,28.5,0.4,conagua_historico
2017-12-01,Jalisco,9.6,18.3,27.0,19.8,conagua_historico
2017-12-01,Michoacán,7.1,16.8,26.5,0.3,conagua_historico
2018-01-01,Jalisco,8.0,17.3,26.5,14.8,conagua_historico
2018-01-01,Michoacán,6.4,16.1,25.8,15.4,conagua_historico
2018-02-01,Michoacán,10.2,19.0,27.8,16.2,conagua_historico
2018-02-01,Jalisco,11.0,19.7,28.5,16.2,conagua_historico
2018-03-01,Michoacán,11.7,21.5,31.2,0.4,conagua_historico
2018-03-01,Jalisco,10.9,21.4,31.9,0.1,conagua_historico
2018-04-01,Jalisco,12.7,22.6,32.6,2.2,conagua_historico
2018-04-01,Michoacán,13.1,22.5,32.0,6.6,conagua_historico
2018-05-01,Jalisco,16.4,25.0,33.6,57.7,conagua_historico
2018-05-01,Michoacán,15.2,23.7,32.3,80.1,conagua_historico
