precio_promedio,temp_min_c,temp_avg_c,temp_max_c,importaciones_kg,precio_importacion_usd,year,precio_lag1,precio_lag2,precio_lag3,precio_ma3,precio_ma6,precio_ma12,precio_std3,precio_promedio_log,cosecha_tons_log,precio_promedio_boxcox,temp_avg_c_boxcox,temp_marcena,month_cos
38.055,14.8,22.3,29.8,65462309.0,2.828278895570274,2017.0,42.620000000000005,43.095,43.072,38.055,38.055,38.055,4.234896849710873,3.6649709090622604,0.0,1.2489255299700412,2720.973387538734,0.0,0.5000000000000001
32.5,10.7,20.4,30.0,69112370.0,2.203476020284068,2017.0,38.055,43.095,43.072,35.2775,35.2775,35.2775,3.927978169491274,3.5115454388310208,0.0,1.2384916225776619,2136.2250030471605,0.0,0.8660254037844384
32.5,9.6,18.3,27.0,82046400.0,2.5311617694377815,2017.0,32.5,38.055,43.072,34.35166666666667,34.35166666666667,34.35166666666667,3.207180745348373,3.5115454388310208,0.0,1.2384916225776619,1592.4017868560688,0.0,1.0
32.5,8.0,17.3,26.5,93731957.0,2.1686025183492115,2018.0,32.5,32.5,38.055,32.5,33.88875,33.88875,0.0,3.5115454388310208,0.0,1.2384916225776619,1368.7491369312413,0.0,0.8660254037844387
32.5,11.0,19.7,28.5,80709833.0,2.205827919381273,2018.0,32.5,32.5,32.5,32.5,33.611000000000004,33.611000000000004,0.0,3.5115454388310208,0.0,1.2384916225776619,1943.4053366122823,0.0,0.5000000000000001
32.5,10.9,21.4,31.9,89194653.0,2.2602595695955,2018.0,32.5,32.5,32.5,32.5,33.42583333333334,33.42583333333334,0.0,3.5115454388310208,0.0,1.2384916225776619,2432.5595080175244,0.0,6.123233995736766e-17
33.002,12.7,22.6,32.6,88208007.0,2.499132125272936,2018.0,32.5,32.5,32.5,32.66733333333333,32.583666666666666,33.36528571428572,0.28982983513319455,3.5264193464155373,0.0,1.2395564553453857,2821.8086907472493,1.0,-0.49999999999999983
33.055,16.4,25.0,33.6,75307487.0,2.302360016342067,2018.0,33.002,32.5,32.5,32.85233333333334,32.67616666666667,33.3265,0.30627819598093364,3.5279768646932816,0.0,1.239667274211681,3716.7326375599982,1.0,-0.8660254037844387
33.055,17.4,24.2,31.0,67731105.0,2.21349313583471,2018.0,33.055,33.002,32.5,33.037333333333336,32.76866666666667,33.29633333333334,0.030599564267073515,3.5279768646932816,0.0,1.239667274211681,3400.61134983874,1.0,-1.0
32.45,16.3,23.5,30.7,55331193.0,2.426062022555704,2018.0,33.055,33.055,33.002,32.85333333333333,32.760333333333335,33.2117,0.3492969128597278,3.5100517865742376,0.0,1.238384033851586,3138.766191997645,0.0,-0.8660254037844388
