date,produccion_tons,precio_productor_ton,rendimiento,superficie_cosechada,superficie_sembrada,precio_productor_kg,month,year,month_sin,month_cos
1996-01-01,386.014213022768,1657.0,9.2,613.0,1040.0,1.657,1,1996,0.49999999999999994,0.8660254037844387
1996-02-01,479.08610302696223,1657.0,9.2,613.0,1040.0,1.657,2,1996,0.8660254037844386,0.5000000000000001
1996-03-01,606.1151266572505,1657.0,9.2,613.0,1040.0,1.657,3,1996,1.0,6.123233995736766e-17
1996-04-01,636.2765359743228,1657.0,9.2,613.0,1040.0,1.657,4,1996,0.8660254037844387,-0.49999999999999983
1996-05-01,762.0974973485667,1657.0,9.2,613.0,1040.0,1.657,5,1996,0.49999999999999994,-0.8660254037844387
1996-06-01,504.28387286300625,1657.0,9.2,613.0,1040.0,1.657,6,1996,1.2246467991473532e-16,-1.0
1996-07-01,512.6855626316292,1657.0,9.2,613.0,1040.0,1.657,7,1996,-0.4999999999999998,-0.8660254037844388
1996-08-01,522.8464246280873,1657.0,9.2,613.0,1040.0,1.657,8,1996,-0.8660254037844384,-0.5000000000000004
1996-09-01,466.23903613488886,1657.0,9.2,613.0,1040.0,1.657,9,1996,-1.0,-1.8369701987210297e-16
1996-10-01,589.2278032170165,1657.0,9.2,613.0,1040.0,1.657,10,1996,-0.8660254037844386,0.5000000000000001
1996-11-01,551.4165495233005,1657.0,9.2,613.0,1040.0,1.657,11,1996,-0.5000000000000004,0.8660254037844384
1996-12-01,518.7112749722012,1657.0,9.2,613.0,1040.0,1.657,12,1996,-2.4492935982947064e-16,1.0
1997-01-01,238.14620497808937,2563.305,10.315,615.0,743.0,2.5633049999999997,1,1997,0.49999999999999994,0.8660254037844387
1997-02-01,213.01389668766416,2563.305,10.315,615.0,743.0,2.5633049999999997,2,1997,0.8660254037844386,0.5000000000000001
1997-03-01,261.27501136161266,2563.305,10.315,615.0,743.0,2.5633049999999997,3,1997,1.0,6.123233995736766e-17
1997-04-01,275.5634885454508,2563.305,10.315,615.0,743.0,2.5633049999999997,4,1997,0.8660254037844387,-0.49999999999999983
1997-05-01,242.74507801316295,2563.305,10.315,615.0,743.0,2.5633049999999997,5,1997,0.49999999999999994,-0.8660254037844387
1997-06-01,246.0110156551831,2563.305,10.315,615.0,743.0,2.5633049999999997,6,1997,1.2246467991473532e-16,-1.0
1997-07-01,266.74447319583913,2563.305,10.315,615.0,743.0,2.5633049999999997,7,1997,-0.4999999999999998,-0.8660254037844388
1997-08-01,261.3061623732584,2563.305,10.315,615.0,743.0,2.5633049999999997,8,1997,-0.8660254037844384,-0.5000000000000004
1997-09-01,268.1544663545426,2563.305,10.315,615.0,743.0,2.5633049999999997,9,1997,-1.0,-1.8369701987210297e-16
1997-10-01,376.62556795898723,2563.305,10.315,615.0,743.0,2.5633049999999997,10,1997,-0.8660254037844386,0.5000000000000001
1997-11-01,1633.127855122165,2563.305,10.315,615.0,743.0,2.5633049999999997,11,1997,-0.5000000000000004,0.8660254037844384
1997-12-01,2456.2867797540443,2563.305,10.315,615.0,743.0,2.5633049999999997,12,1997,-2.4492935982947064e-16,1.0
